,season,Team,win_match,position,total_pick
0,2000,Boston Celtics,E,Center,24.0
1,2000,Boston Celtics,E,Forward,56.0
2,2001,Boston Celtics,G,Guard,59.0
3,2001,Boston Celtics,G,Guard-Forward,56.0
4,2002,Boston Celtics,F,Forward,52.0
5,2003,Boston Celtics,E,Nothing,1.0
6,2004,Boston Celtics,F,Forward,51.0
7,2005,Boston Celtics,D,Guard,41.0
8,2005,Boston Celtics,D,Guard-Forward,52.0
9,2006,Boston Celtics,C,Forward,13.0
10,2007,Boston Celtics,K,Guard,46.0
11,2007,Boston Celtics,K,Guard-Forward,42.0
12,2008,Boston Celtics,J,Center,47.0
13,2008,Boston Celtics,J,Forward,22.0
14,2008,Boston Celtics,J,Guard,38.0
15,2008,Boston Celtics,J,Guard-Forward,37.0
16,2009,Boston Celtics,G,Forward,12.0
17,2009,Boston Celtics,G,Guard,9.0
18,2009,Boston Celtics,G,Guard-Forward,44.0
19,2010,Boston Celtics,I,Guard,55.0
20,2011,Boston Celtics,E,Forward,57.0
21,2011,Boston Celtics,E,Guard,30.0
22,2012,Boston Celtics,,Center,2.0
23,2012,Boston Celtics,,Guard,32.0
24,2013,Boston Celtics,C,Guard,4.0
25,2014,Boston Celtics,E,Forward,10.0
26,2014,Boston Celtics,E,Guard,43.0
27,2015,Boston Celtics,G,Guard,37.0
28,2016,Boston Celtics,H,Center,40.0
29,2016,Boston Celtics,H,Center-Forward,41.0
30,2016,Boston Celtics,H,Forward,11.0
31,2017,Boston Celtics,H,Nothing,1.0
32,2018,Boston Celtics,G,Nothing,1.0
33,2019,Boston Celtics,G,Center-Forward,29.0
34,2019,Boston Celtics,G,Guard,46.0
35,2019,Boston Celtics,G,Guard-Forward,17.0
36,2020,Boston Celtics,E,Center,39.0
37,2020,Boston Celtics,E,Forward,46.0
38,2020,Boston Celtics,E,Guard,17.0
39,2020,Boston Celtics,E,Guard-Forward,59.0
40,2021,Boston Celtics,H,Forward,25.0
41,2021,Boston Celtics,H,Forward-Guard,59.0
42,2021,Boston Celtics,H,Guard,9.0
43,2022,Boston Celtics,I,Center-Forward,35.0
44,2023,Boston Celtics,,Forward,40.0
45,2023,Boston Celtics,,Guard,11.0
46,2023,Boston Celtics,,Guard-Forward,48.0
47,2024,Boston Celtics,,Guard,36.0
48,2024,Boston Celtics,,Guard-Forward,48.0
49,2026,Boston Celtics,,Guard,9.0
