,Unnamed: 0,Team,season,win_match,overall_pick,position
997,997,Phoenix Suns,2000,F,47.0,Guard
998,998,Phoenix Suns,2000,F,19.0,Forward
999,999,Phoenix Suns,2001,D,20.0,Guard-Forward
1000,1000,Phoenix Suns,2002,E,1.0,Nothing
1001,1001,Phoenix Suns,2003,C,53.0,Guard-Forward
1002,1002,Phoenix Suns,2004,G,37.0,Center
1003,1003,Phoenix Suns,2005,F,12.0,Forward
1004,1004,Phoenix Suns,2006,G,53.0,Forward-Center
1005,1005,Phoenix Suns,2006,G,40.0,Guard
1006,1006,Phoenix Suns,2007,F,45.0,Forward-Center
1007,1007,Phoenix Suns,2008,E,55.0,Forward
1008,1008,Phoenix Suns,2009,F,41.0,Guard
1009,1009,Phoenix Suns,2009,F,5.0,Center
1010,1010,Phoenix Suns,2010,D,41.0,Guard
1011,1011,Phoenix Suns,2010,D,35.0,Guard
1012,1012,Phoenix Suns,2011,D,38.0,other
1013,1013,Phoenix Suns,2011,D,33.0,Forward
1014,1014,Phoenix Suns,2011,D,3.0,Guard
1015,1015,Phoenix Suns,2012,,47.0,Center
1016,1016,Phoenix Suns,2012,,14.0,Guard
1017,1017,Phoenix Suns,2013,E,1.0,Nothing
1018,1018,Phoenix Suns,2014,D,16.0,Forward
1019,1019,Phoenix Suns,2015,C,49.0,Forward
1020,1020,Phoenix Suns,2016,C,49.0,Guard
1021,1021,Phoenix Suns,2017,C,57.0,Center
1022,1022,Phoenix Suns,2018,B,1.0,Nothing
1023,1023,Phoenix Suns,2019,D,49.0,Guard
1024,1024,Phoenix Suns,2019,D,18.0,Guard
1025,1025,Phoenix Suns,2020,F,58.0,Forward
1026,1026,Phoenix Suns,2020,F,54.0,Forward
1027,1027,Phoenix Suns,2020,F,28.0,Guard
1028,1028,Phoenix Suns,2021,G,58.0,Guard-Forward
1029,1029,Phoenix Suns,2021,G,30.0,Guard
1030,1030,Phoenix Suns,2021,G,8.0,Forward
1031,1031,Phoenix Suns,2022,E,61.0,Center
1032,1032,Phoenix Suns,2022,E,46.0,Guard
1033,1033,Phoenix Suns,2022,E,31.0,Forward-Guard
1034,1034,Phoenix Suns,2022,E,3.0,Guard
1035,1035,Phoenix Suns,2022,E,3.0,Forward-Guard
1036,1036,Phoenix Suns,2023,,56.0,Guard-Forward
1037,1037,Phoenix Suns,2023,,30.0,Forward-Guard
1038,1038,Phoenix Suns,2024,,52.0,Forward-Center
